"Province.State","Country.Region","Lat","Long","confirmed","recovered"
"Anhui","Mainland China",31.82571,117.2264,987,474
"Beijing","Mainland China",40.18238,116.4142,395,153
"Chongqing","Mainland China",30.05718,107.874,567,299
"Fujian","Mainland China",26.07783,117.9895,293,126
"Gansu","Mainland China",36.0611,103.8343,91,71
"Guangdong","Mainland China",23.33841,113.422,1332,642
"Guangxi","Mainland China",23.82908,108.7881,245,90
"Guizhou","Mainland China",26.81536,106.8748,146,72
"Hainan","Mainland China",19.19673,109.7455,168,86
"Hebei","Mainland China",38.0428,114.5149,307,169
"Heilongjiang","Mainland China",47.862,127.7622,476,136
"Henan","Mainland China",33.88202,113.614,1265,637
"Hubei","Mainland China",30.97564,112.2707,62442,11788
"Hunan","Mainland China",27.61041,111.7088,1010,634
"Inner Mongolia","Mainland China",44.09448,113.9456,75,16
"Jiangsu","Mainland China",32.97027,119.464,631,356
"Jiangxi","Mainland China",27.61401,115.7221,934,433
"Jilin","Mainland China",43.66657,126.1917,91,43
"Liaoning","Mainland China",41.29284,122.6086,121,59
"Ningxia","Mainland China",37.26923,106.1655,71,44
"Qinghai","Mainland China",35.65945,96.02564,18,16
"Shaanxi","Mainland China",35.19165,108.8701,245,118
"Shandong","Mainland China",36.34377,118.1529,546,254
"Shanghai","Mainland China",31.20327,121.4554,334,199
"Shanxi","Mainland China",37.57769,112.2922,132,76
"Sichuan","Mainland China",30.61714,102.7103,520,217
"Tianjin","Mainland China",39.29362,117.333,131,59
"Tibet","Mainland China",30.1534,88.7879,1,1
"Xinjiang","Mainland China",41.11981,85.17822,76,22
"Yunnan","Mainland China",24.97411,101.4868,174,79
"Zhejiang","Mainland China",29.18251,120.0985,1175,633
"","Thailand",13.7563,100.5018,35,15
"","Japan",35.6762,139.6503,94,18
"","South Korea",37.5665,126.978,104,16
"Taiwan","Taiwan",23.6978,120.9605,24,2
"Seattle, WA","US",47.7511,-120.74,1,1
"Chicago, IL","US",40.6331,-89.3985,2,2
"Tempe, AZ","US",34.0489,-111.094,1,0
"Macau","Macau",22.1987,113.5439,10,6
"Hong Kong","Hong Kong",22.3193,114.1694,68,6
"","Singapore",1.3521,103.8198,84,34
"","Vietnam",21.0278,105.8342,16,7
"","France",46.2276,2.2137,12,4
"","Nepal",28.3949,84.124,1,1
"","Malaysia",4.2105,101.9758,22,15
"Toronto, ON","Canada",43.6532,-79.3832,2,0
"British Columbia","Canada",49.2827,-123.121,5,0
"Orange, CA","US",33.7879,-117.8531,1,0
"Los Angeles, CA","US",34.0522,-118.2437,1,0
"New South Wales","Australia",-33.8688,151.2093,4,4
"Victoria","Australia",-37.8136,144.9631,4,4
"Queensland","Australia",-27.4698,153.0251,5,0
"","Cambodia",12.5657,104.991,1,1
"","Sri Lanka",7.8731,80.7718,1,1
"","Germany",51.1657,10.4515,16,12
"","Finland",61.9241,25.7482,1,1
"","United Arab Emirates",23.4241,53.8478,9,4
"","Philippines",12.8797,121.774,3,1
"","India",20.5937,78.9629,3,3
"London, ON","Canada",42.9849,-81.2453,1,1
"","Italy",41.8719,12.5674,3,0
"","UK",55.3781,-3.436,9,8
"","Russia",61.524,105.3188,2,2
"","Sweden",60.1282,18.6435,1,0
"Santa Clara, CA","US",37.3541,-121.9552,2,0
"","Spain",40.4637,-3.7492,2,2
"South Australia","Australia",-34.9285,138.6007,2,2
"Boston, MA","US",42.3601,-71.0589,1,0
"San Benito, CA","US",36.5761,-120.9876,2,0
"","Belgium",50.5039,4.4699,1,1
"Madison, WI","US",43.0731,-89.4012,1,0
"Diamond Princess cruise ship","Others",35.4437,139.638,634,1
"San Diego County, CA","US",32.7157,-117.1611,2,0
"San Antonio, TX","US",29.4241,-98.4936,1,0
"","Egypt",26.8206,30.8025,1,0
"","Iran",32.4279,53.688,5,0
